City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,alofi,-19.0595,-169.9187,24.94,100,100,0.51,NU,1670092381
302,seoul,37.5683,126.9778,-0.34,50,0,6.69,KR,1670092055
303,dakar,14.6937,-17.4441,25.49,65,0,3.09,SN,1670092382
304,krasnoselkup,65.7,82.4667,-22.21,100,100,2.82,RU,1670092383
305,trelew,-43.249,-65.3051,29.08,13,18,11.0,AR,1670092383
306,biedenkopf,50.9167,8.5333,0.03,93,95,1.98,DE,1670092384
307,panjab,34.388,67.0233,-2.11,64,40,1.02,AF,1670092384
308,rochefort,45.9167,-1.0,4.03,92,85,3.25,FR,1670092385
309,basco,20.4487,121.9702,26.53,77,47,8.4,PH,1670092386
310,greeneville,36.1632,-82.831,14.12,98,100,3.09,US,1670092387
311,labytnangi,66.6572,66.4183,-9.96,87,86,3.24,RU,1670092344
312,hambantota,6.1241,81.1185,24.91,87,81,3.58,LK,1670092164
313,saint-leu,-21.15,55.2833,24.48,79,11,3.53,RE,1670092392
314,santa cruz cabralia,-16.2781,-39.0247,27.13,78,40,5.14,BR,1670092393
315,santa maria,-29.6842,-53.8069,30.61,55,40,3.6,BR,1670092049
316,shyryayeve,47.3805,30.1964,1.3,70,100,3.83,UA,1670092394
317,puerto lopez,4.0845,-72.956,30.09,59,91,3.44,CO,1670092395
318,paamiut,61.994,-49.6678,-1.69,69,100,1.12,GL,1670092395
319,vanavara,60.34,102.2797,-22.64,100,98,1.96,RU,1670092396
320,homer,59.6425,-151.5483,-0.13,81,0,1.79,US,1670092397
321,chicama,-7.8447,-79.1469,20.3,59,81,4.99,PE,1670092397
322,kruisfontein,-34.0033,24.7314,17.16,76,100,1.9,ZA,1670092344
323,marzuq,14.4,46.4667,17.79,41,0,0.34,YE,1670092398
324,ola,59.5833,151.2833,-17.7,93,100,3.32,RU,1670092399
325,siguiri,11.6667,-9.5,29.08,34,100,1.2,GN,1670092400
326,mirabad,30.4362,61.8383,11.21,30,7,1.78,AF,1670092401
327,chkalovsk,56.7647,43.2433,-13.12,89,100,3.19,RU,1670092402
328,lombardia,19.15,-102.0333,29.47,36,0,1.96,MX,1670092403
329,luanda,-8.8368,13.2343,27.0,78,20,6.17,AO,1670092404
330,santa maria del oro,25.9333,-105.3667,24.78,33,5,4.5,MX,1670092405
331,bandar-e lengeh,26.5579,54.8807,22.06,60,0,3.09,IR,1670092406
332,seymchan,62.8833,152.4333,-39.42,100,71,0.34,RU,1670092407
333,hay river,60.8156,-115.7999,-13.02,85,75,3.6,CA,1670092407
334,faya,18.3851,42.4509,15.06,76,3,1.7,SA,1670092248
335,rio gallegos,-51.6226,-69.2181,15.03,41,40,14.4,AR,1670092409
336,tura,25.5198,90.2201,16.25,86,2,1.5,IN,1670092410
337,avera,33.194,-82.5271,21.73,68,92,3.29,US,1670092410
338,dongsheng,39.8161,109.9776,-9.67,25,0,2.72,CN,1670092411
339,nalut,30.3333,10.85,17.55,15,29,2.99,LY,1670092414
340,krasnyy chikoy,50.3643,108.7512,-18.5,89,100,2.88,RU,1670092414
341,semnan,35.5729,53.3971,8.37,69,99,1.6,IR,1670092415
342,bolivar,37.6145,-93.4105,4.21,50,96,3.13,US,1670092416
343,mahon,39.8885,4.2658,10.31,93,20,2.57,ES,1670092417
344,grindavik,63.8424,-22.4338,2.26,93,0,2.06,IS,1670092418
345,hastings,50.8552,0.5729,6.05,81,100,7.68,GB,1670092418
346,bundaberg,-24.85,152.35,15.68,95,45,0.89,AU,1670092419
347,sabha,27.0377,14.4283,20.0,23,0,4.63,LY,1670092419
348,tautira,-17.7333,-149.15,26.36,80,68,8.3,PF,1670092277
349,brae,60.3964,-1.353,6.86,74,100,7.39,GB,1670092421
350,padre bernardo,-15.35,-48.5,23.6,80,100,2.78,BR,1670092421
351,okha,53.5739,142.9478,-19.17,92,44,5.76,RU,1670092422
352,waw,7.7029,27.9953,28.68,28,76,1.77,SS,1670092179
353,polunochnoye,60.8697,60.4153,-19.17,95,42,1.78,RU,1670092424
354,ostrovnoy,68.0531,39.5131,-6.67,93,59,4.28,RU,1670092424
355,varna,43.2167,27.9167,3.08,100,100,2.06,BG,1670092266
356,lokosovo,61.1333,74.8167,-11.66,95,100,4.11,RU,1670092425
357,murdochville,48.9583,-65.5006,1.49,97,100,6.83,CA,1670092426
358,tirumullaivasal,11.2333,79.8333,25.44,88,95,5.31,IN,1670092427
359,killybegs,54.6333,-8.45,6.84,88,100,3.45,IE,1670092427
360,bud,39.447,-86.1758,5.26,59,3,6.9,US,1670092080
361,yaan,7.3833,8.5667,28.6,24,23,0.87,NG,1670092429
362,inverness,57.4791,-4.224,5.95,87,75,1.03,GB,1670092430
363,jiayuguan,39.8167,98.3,-9.76,79,29,0.98,CN,1670092430
